n_splits,model,accuracy_mean,accuracy_std
2,Dummy Classifier,0.32657142857142857,0.0017142857142857237
2,Logistic Regression,0.6582857142857144,0.00028571428571427804
2,Random Forest Classifier,0.8505714285714285,0.005428571428571394
3,Dummy Classifier,0.33342840138871593,0.006529052123206765
3,Logistic Regression,0.6612854351943778,0.004255215474097367
3,Random Forest Classifier,0.8564278309803836,0.006402448752259214
5,Dummy Classifier,0.32157142857142856,0.012074598062351671
5,Logistic Regression,0.660142857142857,0.007881779556647844
5,Random Forest Classifier,0.8629999999999999,0.006752172741769421
7,Dummy Classifier,0.3228571428571429,0.010161953853587861
7,Logistic Regression,0.6608571428571429,0.012766346064427949
7,Random Forest Classifier,0.8632857142857143,0.010360836779696436
10,Dummy Classifier,0.32971428571428574,0.015449720953823739
10,Logistic Regression,0.6604285714285714,0.01650046381537347
10,Random Forest Classifier,0.8644285714285715,0.010756108848046323
15,Dummy Classifier,0.34013656707502,0.020458672437963756
15,Logistic Regression,0.6598554680439784,0.020266107017701332
15,Random Forest Classifier,0.8654287403540696,0.012569546933998577
20,Dummy Classifier,0.32685714285714285,0.027514745582865114
20,Logistic Regression,0.6604285714285714,0.02361727143859091
20,Random Forest Classifier,0.8674285714285714,0.014746843314930208
